,datetime,Temperature,Breaks,P_pan,P_viv,P_car,P_des,P_exp,P_imp,P_elec,P_comp,P_pur,P_pila,SOC,pres_buf,pres_comp,pres_pila,P_car_pila,s_elec,s_comp,s_pila,h2_total,h2_flow,h2_elec,h2b_nl,h2t_nl,h2_flow_pila
234,2024-03-27 11:54:00,13.1,,5500.0,407.0,409.55862703337476,0,3383.5779599846906,16.78486905005685,1274.7091659582898,0.0,50.0,0,100,28.4,84.7,-1,-1,1,0,0,216032.80686388875,182.337,0.2532458333333333,2651.7096507628094,686.3432566254816,0
235,2024-03-27 11:54:05,13.1,,5460.0,407.0,415.85461935542776,0,3551.3825694960046,17.455152036636353,1274.7091659582898,0.0,50.0,0,100,28.4,84.7,-1,-1,1,0,0,216033.06029999987,182.474,0.2534361111111111,2651.7096507628094,686.3432566254816,0
236,2024-03-27 11:54:10,13.1,,5600.0,434.0,434.0771164842656,0,3747.8856649206227,17.703950349828474,1285.3341472316583,0.0,50.0,0,100,28.4,84.7,-1,-1,1,0,0,216033.31437222208,182.932,0.2540722222222222,2651.7096507628094,686.3432566254816,0
237,2024-03-27 11:54:15,13.1,,5580.0,400.0,428.299159045238,0,3849.1804598465005,18.501444046270564,1300.3079193347407,0.0,50.0,0,100,28.4,84.7,-1,-1,1,0,0,216033.56863749988,183.071,0.25426527777777774,2651.7096507628094,686.3432566254816,0
238,2024-03-27 11:54:20,13.1,,5460.0,410.0,425.3413894989959,0,3789.6651729410937,18.321872249504217,1315.2818361972666,0.0,50.0,0,100,28.4,84.7,-1,-1,1,0,0,216033.82357638876,183.556,0.2549388888888889,2651.7096507628094,686.3432566254816,0
239,2024-03-27 11:54:25,13.1,,5400.0,401.0,431.095258348515,0,3850.772495461108,18.383179217180846,1330.2901334276858,0.0,50.0,0,100,28.5,84.7,-1,-1,1,0,0,216034.07846805544,183.522,0.2548916666666667,2661.046656575355,686.3432566254816,0
240,2024-03-27 11:54:30,13.1,,5380.0,407.0,428.71462210996424,0,3803.171403104649,18.240019190967143,1345.616973814098,0.0,50.0,0,100,28.5,84.7,-1,-1,1,0,0,216034.3334597221,183.594,0.25499166666666667,2661.046656575355,686.3432566254816,0
241,2024-03-27 11:54:35,13.1,,5450.0,392.0,426.7832543418216,0,3928.779343625712,18.98429274179957,1358.9179781648127,0.0,50.0,0,100,28.5,84.7,-1,-1,1,0,0,216034.5888263888,183.864,0.25536666666666663,2661.046656575355,686.3432566254816,0
242,2024-03-27 11:54:40,13.1,,5700.0,416.0,435.79442132726217,0,3945.57264772707,18.66333609069632,1365.1145509143998,0.0,50.0,0,100,28.5,84.7,-1,-1,1,0,0,216034.844223611,183.886,0.2553972222222222,2661.046656575355,686.3432566254816,0
243,2024-03-27 11:54:45,13.1,,5870.0,412.0,428.71462210996424,0,3803.171403104649,18.240019190967143,1371.3107617653773,0.0,50.0,0,100,28.5,84.7,-1,-1,1,0,0,216035.10028055543,184.361,0.25605694444444443,2661.046656575355,686.3432566254816,0
244,2024-03-27 11:54:50,13.1,,5895.9,418.0,425.1030101193054,0,3731.5368818835127,18.02143770045226,1377.4010087035226,0.0,50.0,0,100,28.5,84.7,-1,-1,1,0,0,216035.3565958332,184.547,0.2563152777777778,2661.046656575355,686.3432566254816,0
245,2024-03-27 11:54:55,13.1,,5740.0,398.0,423.8883267172636,0,3707.60098370853,17.947563190167905,1383.464330385129,0.0,50.0,0,100,28.5,84.7,-1,-1,1,0,0,216035.6131458332,184.716,0.25655,2661.046656575355,686.3432566254816,0
246,2024-03-27 11:55:00,13.1,,5580.0,401.0,428.11611831712116,0,3791.250770886415,18.203898527855216,1389.5277968261785,0.0,50.0,0,100,28.5,84.7,-1,-1,1,0,0,216035.8696180554,184.66,0.2564722222222222,2661.046656575355,686.3432566254816,0
247,2024-03-27 11:55:05,13.1,,5430.0,403.0,439.2492784493016,0,4073.369073922156,19.15462430862136,1395.5909737483407,0.0,50.0,0,100,28.5,84.7,-1,-1,1,0,0,216036.12615833318,184.709,0.25654027777777777,2661.046656575355,686.3432566254816,0
248,2024-03-27 11:55:10,13.1,,5060.0,397.0,445.2158430337514,0,4257.725574936576,19.78896881736921,1401.6545125691127,0.0,50.0,0,100,28.5,84.7,-1,-1,1,0,0,216036.38306249984,184.971,0.25690416666666666,2661.046656575355,686.3432566254816,0
249,2024-03-27 11:55:15,13.1,,5250.0,392.0,443.1655622690214,0,4274.351821519944,19.958975562748236,1407.717689491275,0.0,50.0,0,100,28.5,84.7,-1,-1,1,0,0,216036.64038333317,185.271,0.25732083333333333,2661.046656575355,686.3432566254816,0
250,2024-03-27 11:55:20,13.1,,5700.0,375.0,438.0670983670223,0,4106.7928090919195,19.37313901947835,1413.7810111728809,0.0,50.0,0,100,28.5,84.7,-1,-1,1,0,0,216036.89804722206,185.518,0.25766388888888886,2661.046656575355,686.3432566254816,0
251,2024-03-27 11:55:25,13.1,,5820.0,405.0,432.38567432284276,0,3932.156223050065,18.747528382298224,1419.8445499936524,0.0,50.0,0,100,28.5,84.7,-1,-1,1,0,0,216037.15627777763,185.926,0.2582305555555555,2661.046656575355,686.3432566254816,0
252,2024-03-27 11:55:30,13.1,,5830.0,385.0,423.5508911512562,0,3753.863362736814,18.212586366843222,1425.9078716752588,0.0,50.0,0,100,28.5,84.7,-1,-1,1,0,0,216037.41483472206,186.161,0.25855694444444444,2661.046656575355,686.3432566254816,0
253,2024-03-27 11:55:35,13.1,,5850.0,397.0,403.66089396583817,0,3321.5061136637923,16.69810152737582,1431.9712657365867,0.0,50.0,0,100,28.5,84.7,-1,-1,1,0,0,216037.67329999985,186.095,0.2584652777777778,2661.046656575355,686.3432566254816,0
254,2024-03-27 11:55:40,13.1,,5710.0,393.0,415.85461935542776,0,3551.3825694960046,17.455152036636353,1438.034515038471,0.0,50.0,0,100,28.5,84.7,-1,-1,1,0,0,216037.9320708332,186.315,0.25877083333333334,2661.046656575355,686.3432566254816,0
